A1	peer_messaging	pod-peer,inter-claude-protocol
A2	peer_messaging	claude-tabs
A3	peer_messaging	claude-tabs
A4	peer_messaging	claude-peer
A5	peer_messaging	claude-peer
A6	peer_messaging	pod-peer
A7	peer_messaging	inter-claude-protocol,claude-peer
B1	session_registry	claude-tabs,claude-pod
B2	session_registry	claude-tabs
B3	session_registry	claude-tabs,claude-pod
B4	session_registry	claude-tabs
R1	runtime_activation	pod-peer,claude-peer
R2	runtime_activation	pod-peer,claude-peer
E1	addressability	claude-peer
E2	addressability	claude-peer
E3	addressability	claude-peer
E4	addressability	claude-peer
C1	transcripts	claude-pod,claude-search,claude-tabs,work-context,session-scripts
C2	transcripts	claude-pod,claude-search,claude-tabs,work-context,session-scripts
C3	transcripts	claude-pod,session-scripts
